Date,Year,Month,Pearson,Kendall,Spearman
1981-01-01,1981,1,0.4196105257950387,0.15033530155181016,0.20107370473926342
1981-02-01,1981,2,0.38536143364831127,-0.05797355166140632,-0.08107863472649217
1981-03-01,1981,3,0.3843655342252642,0.13721056915331245,0.19815168856885482
1981-04-01,1981,4,0.14529886750744567,0.2086520430827174,0.26553965721444944
1981-05-01,1981,5,0.16348485707681573,0.11064889727978201,0.15423147582804694
1981-06-01,1981,6,0.5014622874384284,0.29674232591044164,0.42451788005114066
1981-07-01,1981,7,0.5050159561734573,0.40552515928812327,0.585349663259788
1981-08-01,1981,8,0.31516463408774653,0.25060905437807146,0.3495946226724587
1981-09-01,1981,9,0.3997217365692966,0.31293727786354014,0.42648795089747205
1981-10-01,1981,10,0.130174574195035,0.11992702314602414,0.17596432595493955
1981-11-01,1981,11,0.24641784964503513,0.05845213599385814,0.08873044268764631
1981-12-01,1981,12,0.1811148070014153,0.025666000303345926,0.040141774836704155
1982-01-01,1982,1,0.5453131280489503,0.22610031966283425,0.3287646221504061
1982-02-01,1982,2,0.6944512839616312,0.4373293406111057,0.6050010215987693
1982-03-01,1982,3,0.5701949786424104,0.19431525104263855,0.2960540865495949
1982-04-01,1982,4,0.35303437190389686,0.19666388444493166,0.2940740117836666
1982-05-01,1982,5,0.5296408565402732,0.40054207471389847,0.5469053674886352
1982-06-01,1982,6,0.5581221456418946,0.36408035177683584,0.509321483291836
1982-07-01,1982,7,0.709995110069404,0.578017145769619,0.7784293565347845
1982-08-01,1982,8,0.6743826791949262,0.640682162371513,0.8282754772150689
1982-09-01,1982,9,0.6729733220034907,0.428353653215038,0.600542391982989
1982-10-01,1982,10,0.6169266560083349,0.42602722468433857,0.6035355892645412
1982-11-01,1982,11,0.6794189190109641,0.33071840463512675,0.46795206687888846
1982-12-01,1982,12,0.6024569701523299,0.27744448343810263,0.40794171150824293
1983-01-01,1983,1,0.6262075694515009,0.2783704803439152,0.40133180347966385
1983-02-01,1983,2,0.4001627086025064,0.2692252151923057,0.3985448620866221
1983-03-01,1983,3,0.5721411139026295,0.2531417312589164,0.35449707991012297
1983-04-01,1983,4,0.5425333859921259,0.38220685158370593,0.5286572535976121
1983-05-01,1983,5,0.506067453616864,0.4188469327281585,0.59639682207004
1983-06-01,1983,6,0.6021600350661882,0.46698621463065915,0.6421219565825134
1983-07-01,1983,7,0.6861436393246827,0.4946900781551777,0.6768328684882601
1983-08-01,1983,8,0.7107412569994153,0.3990152715007555,0.5659472464673109
1983-09-01,1983,9,0.5644670179499341,0.21475836249129965,0.32478689178211456
1983-10-01,1983,10,0.631197840938388,0.3090968007571279,0.4552650522090978
1983-11-01,1983,11,0.7127456592863405,0.31337700307398825,0.4424046390919125
